10.654052 0.000000
-74113874979647762989056.000000 -171545618138570912956416.000000
6672738212089924561169850367791530608951296.000000 -2108540458961299605006142890479484263806795776.000000
8555683661258029412052617699314785348506351960977328695633942413312.000000 53436874524683155078572578134233457213247266753230444238523647131648.000000
-136260641192915365228128760523367486361613455332198242979168365031104167050933459182682112.000000 -599767339362819785973064477498671148417076781183266584008280469391133795519461788540207104.000000
1157848988201753131538159644799352998680433331404667072642386732573914872991275460929582956817113967543434870784.000000 3252504695673883545557876622451087432548233691687499754548571833255649393503153316344377692427173281517130481664.000000
-2410597864930764154587906080758763387860719980704537032819619881582899037517443147065428990691790164221030812503238414163846017056768.000000 18588038663237985636217474959962226248979576698555922188706168450595869431908430702395792553545176335248345997697952364481652316962816.000000
-97140224178069688167615366878379309616449896269702304464613987373018480116078379859899442965946466883767592909830322232305300740185300254333192885774581760.000000 -674450285752396598835878672750539332357247829966161888651223345830564444687665026524458272183187329159581474646168164403222869284705075913729340485968855040.000000
1819948854027759262637712534670284170614925963597906889305643109292682553230484740850724112577700044536648864547858692372305307886738105986011171463377087529914346848880976461824.000000 8507746096982155184627429373255623901039941592585273154292485724001859213410971224783444839879196644062514981136662283749495896722129922922156294103813663631686689778109501145088.000000
-17466894584525901138625772532862165179929297335870006699317911382902941687488710974229834075936468242302467206630793396021846954002976137469723155439063376542273478381054815968125340711207745282375680.000000 -55901825854439205681583512882118354575122527749483474089701014878483680943742919002893727699542798031239674619253951933978339759585736876259488211968680468799818285081324766861358020492375986771329024.000000
63902445513158278334368878735341211034943887231756655697871836257220904283551826774171181437815196288971268354110581133702369610371185676187667477062471532509559717528481031132661241295505628327603533321781782372650319872.000000 -109045433104499282692248084826054006973002345813852481350590349596007097934051613676374224062210965218635802175044219144243823409037328352495599265442514288791184615850974460633946468968455981041292126398460462911828525056.000000
1029368623510499572614931099802459380188290866126651163317396125951132363672915852510924359765249346120115733435359008414079774519871730147223283431693766600298002722141773748334023607965240058939570898767817819692368896556300728372252312076288.000000 8259743829806636941678859478741306238006639606154273989781857797532761429906286725886025362148832765904468513157431396041172390920467818729583693316582881637166947708762900760248227872848934120334158756162400859300992391807339711774709052866560.000000
-23768226936572084170421430519974999290722001375055785898726883848685312500398209606831969380382162149067565492715597280154267611197889615743604648400190740215910343820991412310374277353680508904029203626913317155085742532018807915940000895735818213774622073791971328.000000 -118050928905820829967834457567901785301393200961488115024484481235935467657829512104244906287127554195791375812699688526094024785456933609055722826596545142134530020932641785739638336944107087455497771381737109130352777787969241777400064821451400055673881899974000640.000000
256076681134940640325108027974547867978907877677283843814341509351411713844487959731259659983450662947427117038241151081693475367630274020560008974840757908046193508129714552191645856867472077838729336866196666291054641334124422561490359511990846163212600708800500793033473382002573967360.000000 904079962155264928960031091163504501943190832604308728279526133972153032023062051433800786943719525240855049240095527671285022341710141976062434440390540101592603834575530623144280273126808859540849031181545004362674950115092439491487784419052870416080514726887255700638778263017841754112.000000
